movie_id,genre_id
1,1
1,2
2,3
2,4
3,4
4,3
4,1
5,4
5,1
5,3
6,3
6,1
7,3
7,1
7,4
8,3
8,1
8,4
9,5
9,4
10,3
10,4
11,6
11,5
12,4
13,3
13,1
13,4
14,12
15,4
16,2
16,8
16,4
17,4
17,5
17,6
18,1
18,4
18,6
19,6
19,4
20,6
20,4
21,1
21,4
21,11
22,1
22,2
22,9
23,10
23,4
24,8
24,4
24,2
25,10
25,2
26,13
26,14
26,8
27,5
27,4
27,15
28,1
28,3
28,4
29,6
29,11
29,5
30,6
31,1
31,4
31,8
32,4
32,6
33,16
33,4
33,2
34,1
34,3
34,8
35,1
35,11
35,4
36,4
36,1
37,1
37,4
37,13
38,2
38,3
38,4
39,1
39,4
39,13
